headword,CEFR,definition
embassy,B2,대사관
embrace,B2,포옹하다
emerge,B1,알려지다
emergence,B2,출현
emergency,A2,비상
emotion,B1,감정
emotional,B1,감정적인
emotionally,B1,감정적으로
emperor,B1,황제
emphasis,B1,중요성
emphasize/emphasize,B1,강조하다/강조하다
emphatically,B2,단호히
empire,B1,제국
employ,B2,고용
employee,B2,직원
employer,B2,고용주
employment,B1,고용
empty,A2,뜻 검색 실패
enable,B1,~할 수 있게 하다
enclose,B1,넣다
encounter,B1,맞닥뜨리다
encounter,B2,맞닥뜨리다
encourage,A2,장려하다
encouragement,B1,격려
encouraging,B1,격려하는
encyclopedia/encyclopaedia,B1,백과사전/백과사전
end,A1,끝
end,A2,끝
endanger,B1,위험에 빠뜨리다
endangered,A2,멸종 위기에 처한
endeavor/endeavour,B2,노력/노력
ending,A2,종결
endless,B1,끝없는
endlessly,B2,끝없이
endorse,B2,지지하다
endurance,B2,지구력
endure,B1,견디다
enduring,B2,참을 수 있는
enemy,B1,적
energetic,A2,정력적인
energy,B2,에너지
enforce,B2,뜻 검색 실패
engage,B1,관계를 맺다
engaged,B1,약혼한
engagement,B2,약혼
engine,B1,엔진
engineer,A1,엔지니어
engineering,B1,공학
Englishman,B1,영국인
engulf,B2,삼키다
enhance,B2,향상시키다
enjoy,A1,즐기다
enjoyable,B1,재미있는
enjoyment,B1,뜻 검색 실패
enormous,A2,막대한
enough,A2,충분한
enough,A2,충분한
enough,A2,충분한
enrich,B1,높이다
enroll/enrol,B2,등록하다/등록하다
ensure,B1,보장하다
enter,A2,입력하다
enterprise,B2,기업
entertain,B1,즐겁게 하다
entertainer,B1,연예인
entertaining,B2,재미있는
entertainment,A2,오락
enthusiasm,B1,열광
enthusiast,B1,열성가
enthusiastic,B1,열렬한
enthusiastically,B2,열정적으로
entire,B1,전체
entirely,B1,전적으로
entitle,B2,자격을 부여하다
entrance,A2,입구
entrepreneur,B2,기업가
entry,B1,기입
envelope,A2,봉투
environment,B2,환경
environmental,B1,환경
environmentalist,B1,환경 운동가
environmentally,B2,환경적으로
environmentally friendly,B2,환경 친화적인
envy,A2,부러움
envy,B2,부러움
episode,A2,삽화
equal,B1,동일한
equal,B2,동일한
equal,B2,뜻 검색 실패
equality,B1,평등
equally,B1,같이
equation,B2,방정식
equip,B2,갖추게 하다
equipment,B1,장비
equity,B2,형평성
era,B1,연대
erect,B2,세우다
error,A2,오류
erupt,B2,나다
eruption,B2,분화
escalator,A2,에스컬레이터
escape,A2,탈출하다
escape,B1,탈출하다
especially,A2,특히
essay,A2,수필
essayist,B2,수필가
essence,B1,본질
essential,B1,필수적인
essentially,B2,본질적으로
establish,A2,설립하다
establishment,B1,설립
estate,B2,사유지
estimate,B2,추정
estimate,B1,추정
estimated,B2,추정된
eternal,B1,영원한
eternally,B2,영원히
eternity,B1,영원
ethic,B2,윤리
ethnic,B2,민족
euro,A2,유로
evacuate,B2,대피
evacuation,B2,소개
evaluate,B2,평가하다
evaluation,B2,평가
even,B1,뜻 검색 실패
even,A2,심지어
evening,A1,저녁
evenly,B1,고르게
event,A1,이벤트
eventually,B1,결국
ever,A2,항상
everlasting,B2,영구
every,A1,모든
everybody,A1,여러분
everyday,A1,매일
everyone,A1,모든 사람
everything,A1,뜻 검색 실패
everywhere,A1,어디에나
evidence,A2,증거
evident,B1,분명한
evidently,B2,분명히
evil,B2,사악한
evil,B2,사악한
evolution,B2,진화
evolve,B2,진화하다
exact,B1,정확한
exactly,A2,정확히
exactness,B2,정확성
exaggerate,B2,과장하다
exaggeration,B2,뜻 검색 실패
exalt,B2,높이다
exam,A2,시험
examination,B1,시험
examine,B1,조사하다
examinee,B2,수험자
examiner,B1,시험관
example,A1,예
exceed,B2,초과하다
excel,B2,뛰어나다
excellence,B1,우수
excellent,A1,훌륭한
except,A2,제외하고
except,A2,제외하고
exception,B2,예외
exceptional,B2,특별한
exceptionally,B2,예외적으로
excess,B1,과잉
excessive,B2,과도한
exchange,A2,교환
exchange,B1,교환
exchange rate,B1,환율
excited,A1,흥분한
excitedly,B1,신나게
excitement,B1,흥분
exciting,A1,신나는
exclaim,B2,외치다
exclamation mark,B2,느낌표
exclude,B2,들어오지 못하게 하다
exclusion,B2,제외
exclusive,B1,독점적인
exclusively,B2,독점적으로
excursion,B2,소풍
excuse,A1,뜻 검색 실패
excuse,B1,변명
execute,B2,실행하다
execution,B2,실행
executive,B2,경영진
executive,B2,경영진
exercise,A2,운동
exercise,A1,운동
exhaust,B2,배기가스
exhausted,B1,탈진한
exhausting,B2,지치는
exhaustion,B2,피로
exhibit,B2,전시하다
exhibition,A2,전시회
exile,B2,망명
exist,A2,존재하다
existence,B1,존재
existing,B2,기존의
exit,B1,출구
exit,B1,출구
exotic,B2,이국적인
expand,B1,확장하다
expansion,B2,확장
expect,A2,예상하다
expectation,B2,기대
expected,B2,예상되는
expedition,B2,원정
expense,B1,비용
expensive,A1,값비싼
experience,A2,경험
experience,B1,경험
experienced,B1,경험이 풍부한
experiment,B1,실험
experiment,B2,실험
expert,B2,전문가
expert,A2,전문가
explain,A2,설명하다
explanation,A2,설명
explode,B2,터지다
exploit,B2,악용하다
exploration,B1,뜻 검색 실패
explore,A2,탐구하다
explorer,B2,탐침
explosion,B1,폭발
explosive,B2,폭발물
explosive,B2,폭발물
export,B2,내보내다
export,B2,뜻 검색 실패
expose,B1,폭로하다
express,A2,표현하다
express,B1,표현하다
expression,A2,표현
expressive,B2,나타내는
exquisite,B2,절묘한
extend,B1,연장하다
extension,B2,확대
extensive,B2,광범위한
extensively,B1,널리
extent,B1,정도
external,B2,외부
extinct,B1,멸종된
extinction,B1,소멸
extra,A2,추가의
extra,A2,추가의
extra,B1,추가의
extract,B2,발췌
extract,B2,발췌
extraordinarily,B2,뜻 검색 실패
extraordinary,B1,기이한
extreme,B1,극심한
extreme sports,B1,익스트림 스포츠
extremely,A2,극도로
exultant,B2,환호하다
eye,A1,눈
eyebrow,B2,뜻 검색 실패
eyelash,B2,속눈썹
eyelid,B2,눈꺼풀
eyesight,B1,시력
fabric,B2,구조
fabulous,B2,굉장한
face,A1,얼굴
face,A2,뜻 검색 실패
face to face,B1,뜻 검색 실패
face-to-face,B1,대면하다
facilitate,B2,뜻 검색 실패
facilities,B2,시설
facility,B1,뜻 검색 실패
fact,A2,사실
factor,B2,요인
factory,A1,공장
faculty,B2,학부
fade,B1,바래다
fail,A2,실패하다
failure,B1,실패
faint,B1,희미한
faint,B2,희미한
fair,A1,공정한
fair,B1,공정한
fairly,A2,꽤
fairy,A1,요정
faith,B2,믿음
faithful,B1,충실한
fake,B1,가짜
fall,B1,떨어지다
fall,A2,떨어지다
fallen,B1,타락한
false,A1,거짓
falter,B2,흔들리다
fame,B2,명성
familiar,A2,친숙한
familiarize/familiarise,B2,친숙해지다/익숙해지다
family,A1,가족
famous,A1,유명한
fan,A1,팬
fancy,A2,팬시한
fancy,B1,팬시한
fancy,B1,팬시한
fantastic,A2,환상적인
fantastically,B2,환상적으로
fantasy,B1,공상
far,B2,뜻 검색 실패
far,A2,멀리
faraway,B1,먼
fare,A2,뜻 검색 실패
farewell,B1,작별
farm,A1,농장
farmer,A1,농장주
farming,B1,뜻 검색 실패
farmland,B1,농토
farther,B1,더 멀리
farthest,B1,가장 먼
fascinate,B1,호리다
fascinated,B2,매료되다
fascinating,A2,매력적인
fascination,B2,뜻 검색 실패
fashion,A2,패션
fashionable,B1,유행하는
fast,A1,빠른
fast,A1,빠른
fast food,A2,패스트푸드
fasten,B1,묶다
fat,A1,지방
fat,B2,지방
fatal,B2,치명적인
fate,B2,운명
father,A1,아버지
father-in-law,B2,뜻 검색 실패
fault,A2,잘못
faulty,B2,불완전한
favor/favour,A2,호의/호의
favorable/favourable,B1,뜻 검색 실패
favorite/favourite,A1,좋아하는 것/좋아하는 것
favorite/favourite,A1,좋아하는 것/좋아하는 것
fax,B1,팩스
fax,B1,팩스
fear,A2,두려움
fear,B2,두려움
fearsome,B2,뜻 검색 실패
feast,B1,뜻 검색 실패
feat,B2,위업
feather,A2,깃털
feature,A2,특징
feature,B2,특징
February,A1,2월
fed up,B2,지쳤어
federal,B2,뜻 검색 실패
fee,A2,요금
feed,A1,뜻 검색 실패
feed,B1,밥을 먹이다
feedback,B2,피드백
feel,A2,느끼다
feel,A1,느끼다
feeling,A1,감정
fellow,B2,사람
fellow,B1,사람
female,A2,여성
female,B2,뜻 검색 실패
fence,A2,울타리
ferry,B1,나룻배
ferryboat,B2,뜻 검색 실패
festival,A1,제전
festive,B1,뜻 검색 실패
fetch,B1,술책
fever,A1,뜻 검색 실패
feverishly,B1,열광적으로
few,A2,약간의
few,B1,약간의
fiber/fibre,B2,섬유/섬유
fiction,A2,소설
fictional,B2,꾸며낸
field,A1,뜻 검색 실패
fierce,B2,사나운
fifteen,A1,열 다섯
fifth,B1,제오
fifty,A1,뜻 검색 실패
fight,A1,뜻 검색 실패
fight,B1,싸움
fighter,A2,전투기
fighting,B2,화이팅
figurative,B2,뜻 검색 실패
figure,A2,수치
figure,A2,수치
file,A1,뜻 검색 실패
file,B2,파일
filial,B2,뜻 검색 실패
fill,A1,채우다
filling,B1,충전재
film,A2,영화
film,B1,영화
film-maker,B1,영화 제작자
filter,B1,필터
final,A2,결정적인
final,A2,결정적인
finally,A2,뜻 검색 실패
finance,B2,재원
finance,B1,재원
financial,B1,재정적인
financially,B2,재정적으로
find,A1,찾다
finding,B1,발견
fine,A1,괜찮은
fine,B2,괜찮은
fine,B1,뜻 검색 실패
fine,B2,괜찮은
finely,B2,잘게
finger,B1,손가락
fingernail,B2,뜻 검색 실패
finish,A1,뜻 검색 실패
finish,A1,마치다
fire,A1,뜻 검색 실패
fire,B2,불
fire brigade,B2,소방대
fire station,B1,소방서
firearm,B2,총기
firefighter,B1,소방관
fireplace,B2,난로
firework,B1,불꽃
firm,B1,단단한
firm,B1,단단한
firmly,B1,단단히
firmness,B2,견고
first,A1,첫 번째
first,A1,첫 번째
first floor,B1,1층
first lady,B1,영부인
first language,B2,모국어
first name,A2,이름
first person,B2,첫 번째 사람
first-floor,B1,1층
firstly,B2,첫째로
fiscal,B2,재정
fish,A1,물고기
fish,B1,물고기
fisherman,A2,어부
fishing,A1,어업
fit,A2,맞다
fit,B2,맞다
fit,B1,맞다
fitness,B1,적합
five,A1,다섯
fix,A2,고치다
fix,B1,고치다
fixed,B2,뜻 검색 실패
flag,A1,깃발
flame,B2,불꽃
flap,B2,플랩
flash,B1,플래시
flash,B2,플래시
flash,B2,플래시
flat,B1,뜻 검색 실패
flat,B2,평평한
flat,A1,뜻 검색 실패
flavor/flavour,B1,맛/맛
flaw,B2,결함
flawless,B2,완벽한
flax,B2,뜻 검색 실패
flea,A2,벼룩
flee,B2,서두르다
fleet,B2,함대
flesh,B2,육체
flexibility,B2,뜻 검색 실패
flexible,B2,유연한
flexibly,B2,유연하게
flight,A2,비행
flip,B2,튀기다
float,A2,뜨다
float,B1,뜨다
flock,B1,대군
flood,A2,홍수
flood,B1,홍수
floor,A1,바닥
flour,A2,밀가루
flow,B1,흐름
flow,B1,뜻 검색 실패
flower,A1,꽃
flu,B1,독감
fluency,B2,뜻 검색 실패
fluent,B1,유창한
fluently,B1,유창하게
fluid,B2,체액
flunk,B1,낙제
flute,B1,플루트
flutter,B2,설레다
fly,A1,파리
fly,A1,파리
focus,B2,집중하다
focus,A1,집중하다
fog,A2,뜻 검색 실패
foggy,A1,뜻 검색 실패
fold,B1,겹
fold,B1,겹
folder,A2,접는 사람
folk,B1,사람들
follow,A2,따르다
follower,B2,수행원
following,A1,수행원
following,B2,수행원
folly,B2,어리석은 행동
fond,B1,다정한
fondly,B2,무르게
fondness,B1,기호
food,A1,음식
fool,A2,바보
fool,B1,바보
foolish,B1,바보 같은
foolishly,B2,어리석게도
foot,B1,발
football,A1,축구
footballer,A2,축구선수
footnote,B2,각주
for,A2,~을 위한
for,A1,~을 위한
forbid,A2,금지하다
forbidden,B1,금지된
force,A2,힘
force,B2,힘
forcefully,B2,득
forecast,B1,예측
forehead,B1,이마
foreign,A1,외국의
foreigner,A1,외국인
foreman,B2,십장
foresee,B2,예견하다
forest,A2,숲
forestry,B2,임학
forever,A2,영원히
forget,A1,잊다
forgive,B1,용서하다
fork,A2,포크
form,A1,형태
form,B1,형태
formal,B1,공식적인
formally,B1,공식적으로
format,B1,체재
format,B1,체재
formation,B2,형성
former,B1,뜻 검색 실패
formerly,B2,전에
formidable,B2,무서운
formula,B1,공식
forth,B1,앞으로
forthcoming,B2,출현
fortnight,B1,이주일
fortunate,B1,운이 좋은
fortunately,A2,다행스럽게도
fortune,A2,행운
forty,A1,사십
forward,A2,앞으로
foul,B2,반칙
found,B2,설립하다
foundation,B1,기반
fountain,B1,분수
four,A1,네
fourteen,A1,십사
fox,B2,여우
fragment,B1,파편
fragrance,B2,향기
frame,A2,액자
frame,B2,액자
frank,A2,솔직한
frankly,B2,솔직히
frantically,B2,미친듯이
fraud,B2,뜻 검색 실패
freak,B2,괴물
free,A1,무료
free,A2,무료
free,B2,무료
freedom,A2,자유
freely,B1,자유로이
freeze,A2,꼭 매달리게 하다
freezer,B1,냉동고
freezing,B1,동결
frequency,B1,빈도
frequent,B1,잦은
frequently,B1,자주
fresh,A2,신선한
freshman,B1,신입생
Friday,A1,금요일
fridge,A2,냉장고
fried,A2,볶은 것
friend,A1,친구
friendliness,B1,우정
friendly,B2,친숙한
friendship,A2,우정
frigate,B2,프리깃
fright,B1,공포
frighten,A2,놀라다
frightened,A2,겁먹은
frightening,A2,놀라운
frog,A1,개구리
from,A1,~에서
front,A1,앞쪽
front,A2,앞쪽
frontier,B2,국경 지방
frost,B1,서리
frozen,B1,언
frugal,B2,검소한
fruit,A1,과일
frustrated,B1,좌절스러운
frustration,B1,좌절
fry,A2,튀김
fry,B1,튀김
frying pan,B1,프라이팬
fuel,B1,연료
fulfill/fulfil,B2,이행/이행
full,A1,가득한
full stop,B1,마침표
full-time,B1,풀타임
full-time,B1,풀타임
fully,A2,충분히
fume,B2,연기
fun,A1,재미있는
fun,A1,재미있는
function,B1,기능
function,A2,기능
functional,B2,기능성
functionality,B2,기능성
fund,B1,축적
fund,B1,축적
fundamental,B2,근본적인
funeral,B1,장례식
funk,B2,펑키 재즈
funky,B2,겁내는
funny,A1,재미있는
fur,B1,털
furious,B2,맹렬한
furiously,B2,격렬하게
furnish,B1,주다
furniture,A2,가구
furor/furore,B2,퓨로/푸로레
further,A2,더 나아가
further,B1,더 나아가
furthermore,B1,뿐만 아니라
furthest,B1,가장 먼
fuss,B1,야단법석
future,B1,미래
future,A1,미래
gaiety,B2,유쾌
gain,B1,얻다
gain,B1,얻다
gall,B1,담즙
gallery,A2,갱도
gallon,B1,갤런
gambling,B2,도박
game,A1,게임
gang,B2,가다
gangster,B2,갱 단원
gap,B1,갭
garage,A2,차고
garbage,A1,쓰레기
garden,A1,정원
gardener,B2,정원사
gardening,B1,원예
garlic,A2,마늘
garment,B1,외피
gas,A2,가스
gasp,B2,헐떡거리다
gate,A2,문
gateway,B2,게이트웨이
gather,A2,모으다
gaudy,B2,화려한
gay,B1,게이
gaze,B2,시선
gear,B2,기어
gee,B1,말
gender,A2,성별
gene,B1,유전자
general,B1,일반적인
general,B1,일반적인
generalization/generalisation,B2,일반화/일반화
generalize/generalise,B2,일반화하다/일반화하다
generally,B1,일반적으로
generate,B1,생성하다
generation,A2,세대
generosity,B2,관대
generous,B1,관대한
generously,B2,아낌없이
genetic,B1,유전적
genetically,B1,유전적으로
genetics,B1,유전학
genius,B2,천재
genre,B2,장르
gentle,A2,온화한
gentleman,B1,신사
gently,B2,뜻 검색 실패
genuine,B2,진실한
genuinely,B2,진심으로
geographic,B2,지리적
geographical,B1,지리적
geography,B1,지리학
geology,B1,지질학
germ,B2,세균
gesture,B1,뜻 검색 실패
get,A1,뜻 검색 실패
getaway,B2,도주
ghetto,B2,빈민가
ghost,A1,귀신
giant,B1,거대한
gift,A1,선물
gifted,B1,재능이 있는
giggle,B1,킬킬 웃음
ginger,B1,생강
giraffe,B1,기린
girl,A1,소녀
girlfriend,A1,여자 친구
give,A1,주다
giveaway,B2,경품
given,A2,뜻 검색 실패
glacis,B2,빙하
glad,A1,기쁜
glamorous/glamourous,B2,매력적인/매력적인
glance,B1,섬광
glance,B1,섬광
glare,B2,섬광
glass,A1,유리
glasses,A1,안경
gleam,B2,뜻 검색 실패
glee,B2,기쁨
glide,B1,활주
glimpse,B1,일견
glint,B1,반짝임
global,B1,글로벌
global warming,B2,지구 온난화
globally,B2,전 세계적으로
globe,A2,뜻 검색 실패
glocal,B2,글로컬
gloomy,B2,음울한
glorify,B2,뜻 검색 실패
glorious,B1,거룩한
glory,B1,뜻 검색 실패
glove,A2,장갑
glow,B2,불타는 듯한 빛깔
go,B1,가다
go,A1,뜻 검색 실패
goal,A1,목표
goalkeeper,B1,골키퍼
goat,B2,염소
god,B2,뜻 검색 실패
goddess,B1,여신
godly,B2,경건한
gold,A1,금
gold,A2,금
golden,A2,황금의
golf,A2,뜻 검색 실패
golfer,B1,골퍼
good,A1,뜻 검색 실패
good,B2,좋은
good afternoon,A1,좋은 오후에요
good morning,A1,좋은 아침이에요
good night,A1,안녕히 주무세요
good-looking,A2,잘생긴
goodness,B1,선량
goods,B1,상품
goodwill,B2,친선
gook,B2,국
gorge,B2,협곡
gorgeous,B1,아주 멋진
gorilla,B1,고릴라
gossip,B1,잡담
gossip,B2,잡담
govern,B1,통치하다
government,A2,뜻 검색 실패
governmental,B2,정부
governor,B1,지사
gown,B1,겉옷
grab,B1,붙잡다
grace,A2,우아함
graceful,B1,우아한
gracefulness,B2,우아함
grade,A1,등급
grade,B2,등급
gradual,B2,점진적인
gradually,A2,서서히
graduate,B1,졸업하다
graduate,A2,졸업하다
graduation,B1,뜻 검색 실패
grain,B2,곡물
gram/gramme,A2,그램/그램
grammar,A1,문법
grand,B2,멋진
grandchild,A2,뜻 검색 실패
granddad,A2,뜻 검색 실패
granddaughter,A2,손녀
grandfather,A1,할아버지
grandma,A1,할머니
grandmother,A1,할머니
grandpa,A1,뜻 검색 실패
grandparent,A1,조부모
grandson,A2,손자
granny,A2,할머니
grant,B1,승인하다
grant,B1,승인하다
grape,A1,포도
graph,B1,뜻 검색 실패
graphic,B1,그래픽
graphically,B2,그래픽적으로
graphics,B1,제도법
grasp,B2,파악
grass,A1,잔디
grateful,A2,고마워하는
gratitude,B1,고마움
grave,B1,뜻 검색 실패
gravestone,B2,묘비
gravitation,B2,중력
gravy,B1,육수
gray/grey,A1,뜻 검색 실패
gray/grey,A1,회색/회색
great,A1,엄청난
greatly,A2,매우
greatness,B2,위대
greedy,A2,탐욕스러운
green,A1,녹색
green,A2,녹색
greenhouse,B1,온실
greet,A1,환영하다
greeting,B1,인사
grief,B2,고통
grieve,B2,슬퍼하다
grill,B1,그릴
grill,B1,그릴
grilled,A2,구운 것
grim,B2,엄한
grin,B2,이를 드러내고 웃다
grip,B2,손잡이
grip,B2,손잡이
grocery store,A2,식료품점
groom,B1,신랑
gross,B2,역겨운
ground,A1,지면
ground floor,B1,1층
group,A1,그룹
group,B1,그룹
grouping,B1,그룹화
grow,A1,자라다
growing,B2,뜻 검색 실패
grown-up,B2,어른
grown-up,B2,어른
growth,B1,성장
guarantee,B1,보장하다
guarantee,B2,뜻 검색 실패
guard,A2,경비원
guard,B2,경비원
guerrilla,B2,게릴라
guess,B1,추측하다
guess,A1,추측하다
guest,A1,손님
guidance,B1,뜻 검색 실패
guide,B1,가이드
guide,B1,가이드
guidebook,A2,안내서
guideline,B2,지침
guilt,B1,죄
guilty,B1,죄책감이 드는
guitar,A1,기타
guitarist,B1,기타리스트
gulp,B2,꿀꺽꿀꺽
gum,B2,잇몸
gun,A2,총
gunshot,B2,사격
guts,B2,끈기
guy,A1,남자
gym,B1,체육관
gymnastic,B2,체조
gymnastics,B1,체조
habit,A1,습관
habitant,B2,주민
habitat,B1,서식지
had,A1,가졌다
hail,B2,빗발
hair,A1,머리카락
haircut,A1,이발
hairdresser,B1,이발사
hairdryer,B1,헤어드라이어
hairy,B2,털이 많은
half,B1,반
half,A2,반
half,A1,반
half,A2,반
half-price,A2,반값
half-price,A2,반값
hall,A1,홀
ham,A2,햄
hamburger,A1,햄버거
hammer,B1,망치
hammer,B2,망치
hand,A1,손
hand,A2,손
handbag,A2,핸드백
handball,B1,핸드볼
hand-held,B1,휴대용
handicap,B2,핸디캡
handicapped,A2,신체적 장애가 있는
handicraft,B2,손재주
handkerchief,B1,손수건
handle,A2,핸들
handle,B1,핸들
handout,B2,핸드 아웃
handrail,B2,난간
handshake,B1,악수
handsome,A1,멋있는
handwriting,B1,필적
handy,B1,능숙한
hang,B2,걸다
hang,B1,걸다
hanging,B1,교수형
happen,A1,일어나다
happily,A2,행복하게
happiness,A2,행복
happy,A1,행복하다
harbor/harbour,B1,항구/항구
hard,A1,딱딱한
hard,A1,딱딱한
hard drive,B2,하드 드라이브
hardly,A2,거의 ~ 아니다
hardship,B1,고난
hardware,B2,하드웨어
hard-working,B1,부지런한
harm,B2,피해
harm,A2,피해
harmful,A2,해로운
harmless,B2,무해한
harmony,A2,조화
harness,B1,마구
harrow,B2,써레
harvest,A2,수확하다
has,A1,가지다
haste,B2,뜻 검색 실패
hastily,B2,황급히
hasty,B1,급한
hat,A1,모자
hatch,B1,해치
hatching,B2,뜻 검색 실패
hate,B1,싫어하다
hate,A2,싫어하다
hatred,B1,증오
haunt,B1,나타나다
haunt,B2,나타나다
haunting,B2,잊혀지지 않는
have,A1,가지다
have to,A1,~해야 한다
haven,B1,항구
hay,B2,건초
hazard,B1,위험
hazardous,B2,위험한
he,A1,그
head,A1,머리
head,A2,머리
headache,A1,두통
headline,B1,표제
headphone,A2,헤드폰
headquarters,B2,본부
headteacher,A2,교장
heal,B1,치유하다
healing,B1,치유
health,A1,건강
health care,B2,건강 관리
healthy,A1,건강한
heap,B2,더미
heap,B2,더미
hear,A1,듣다
hearing,B1,듣기
heart,A1,마음
heart attack,B1,심장마비
heartbreaking,B2,가슴 아픈
hearted,B1,마음이 있는
heartwarming/heart-warming,B2,마음이 따뜻해지는/마음이 따뜻해지는
hearty,B1,많은
heat,A2,열
heat,B1,열
heater,B1,히터
heating,A2,난방
heaven,B1,천국
heavenly,B1,천국 같은
heavily,A2,무겁게
heavy,A1,무거운
hedge,B2,방지책
heel,B1,힐
height,B1,키
helicopter,B2,헬리콥터
hell,B2,지옥
hello,A1,안녕하세요
helmet,B1,헬멧
help,A2,돕다
help,A1,돕다
helper,B2,돕는 사람
helpful,A2,도움이 되는
helpless,B1,어찌할 수 없는
hemp,B2,마
her,A1,그녀의
her,A1,그녀의
herb,B2,목초
herd,B1,떼
here,A1,뜻 검색 실패
heritage,B2,유산
hero,A2,영웅
hers,A1,그녀의 것
herself,A2,뜻 검색 실패
hesitate,B1,뜻 검색 실패
hesitation,B2,주저
hey,A2,여기요
hi,A1,안녕
hidden,B1,숨겨진
hide,A1,숨다
high,A1,높은
high,A2,높은
high school,A2,고등학교
highlight,B2,뜻 검색 실패
highlight,B1,가장 밝은 부분
highly,B1,고도로
high-tech/hi-tech,B2,하이테크/하이테크
highway,A2,고속도로
hijack,B2,공중 납치
hijack,B2,공중 납치
hike,A2,인상
hiking,A2,하이킹
hilarious,B2,아주 웃긴
hill,A1,언덕
him,A1,그를
himself,A2,그 자신
hint,B2,힌트
hip,B1,잘 알고 있기
hip hop/hip-hop/hiphop,A2,힙합/힙합/힙합
hire,B1,고용하다
his,A1,그의
his,A1,그의
historian,B1,역사가
historic,B1,역사적인
historical,B1,역사적인
history,A1,역사
hit,B1,때리다
hit,A2,때리다
HIV,B1,HIV
hobby,A1,취미
hockey,A2,하키
hold,A1,뜻 검색 실패
hold,A2,뜻 검색 실패
holder,B2,보유자
hole,A1,구멍
holiday,A1,휴일
hollow,B2,구멍
holocaust,B2,대학살
holy,B1,거룩한
home,A2,집
home,A1,뜻 검색 실패
homeless,B1,노숙자
hometown,A1,고향
homeward,B2,집으로
homework,A1,숙제
hone,B2,숫돌
honest,B1,솔직한
honestly,B1,솔직히
honesty,B1,정직
honey,A2,꿀
honeymoon,B1,신흔 여행
honor/honour,A2,명예/명예
honor/honour,B2,뜻 검색 실패
honorable/honourable,B2,명예로운/명예로운
hood,B2,후드
hook,B2,훅
hook,B2,훅
hop,B1,깡충깡충 뛰다
hope,A1,희망
hope,B1,희망
hopeful,B1,유망한
hopefully,B1,바라건대
hopeless,B1,희망이 없는
horizon,B1,수평선
horn,B1,뿔
horrible,B1,끔찍한
horrify,B1,무섭게 하다
horror,A2,공포
horse,A1,뜻 검색 실패
hospice,B2,수용소
hospitable,B2,친절하다
hospital,A1,병원
hospitality,B2,환대
hospitalize/hospitalise,B2,입원하다/입원하다
host,A2,주인
hostel,B1,숙박소
hot,A1,더운
hotel,A1,호텔
hour,A1,시간
hourly,B2,매시간
house,A1,집
household,B1,가정
housekeeper,B2,가정부
housemaster,B2,가정부
housewife,B2,주부
housework,B1,안일
hover,B2,뜻 검색 실패
how,A1,어떻게
however,A2,뜻 검색 실패
hug,B2,껴안다
hug,A2,껴안다
huge,B1,거대한
hugely,B2,엄청나게
human,A2,인간
human,B1,인간
human rights,B2,인권
humane,B2,인도적인
humanist,B2,뜻 검색 실패
humanity,B1,인류
humanize/humanise,B2,인간화하다/인간화하다
humble,B2,겸손한
humbug,B2,협잡
humid,B1,습한
humiliate,B2,굴욕을 주다
humiliating,B2,굴욕적인
humiliation,B2,굴욕
humor/humour,B1,유머/유머
humorous,B1,유머러스한
hundred,A2,백
hunger,B1,굶주림
hungry,A1,배고픈
hunt,B1,사냥
hunt,B1,사냥
hunter,A2,사냥꾼
hunting,B2,수렵
hurriedly,B1,서둘러서
hurry,A1,서두르다
hurry,A2,서두르다
hurt,B1,아프다
hurt,A1,아프다
husband,A1,남편
hush,B2,쉿
hut,B1,오두막
hybrid,B2,잡종
hygiene,B2,위생
hyperbole,B2,과장법
hyphen,B2,하이픈
I,A1,나
ice,A1,얼음
ice cream,A1,아이스크림
ice hockey,B1,아이스 하키
ice skating,B1,아이스 스케이팅
iceman,B2,아이스맨
icon,B2,상
icy,B2,쌀쌀한
ID,A2,ID
ID card,A2,신분증
idea,A1,아이디어
ideal,A1,이상적인
ideally,B2,이상적으로는
identical,B2,동일한
identification,B2,신분증
identify,B2,식별하다
identity,B1,신원
identity card,B1,신분증
ideology,B2,관념론
idiom,B1,관용구
idiot,B2,바보
idle,B2,게으른
idol,B1,우상
idolize/idolise,B2,우상화하다/우상화하다
if,A1,만약에
ignorance,B2,무지
ignorant,B2,무식한
ignore,B1,무시하다
ill,A2,아픈
illegal,A2,불법적인
illegally,B1,불법적으로
illness,B1,병
illuminate,B1,비추다
illustrate,B2,설명하다
illustration,B2,삽화
image,A2,영상
imagery,B2,형상
imaginary,B1,상상의
imagination,A2,상상력
imagine,A1,상상하다
imitate,B1,본뜨다
imitation,B2,모방
immediate,B1,즉각적인
immediately,B1,즉시
immerse,B2,잠그다
immigrant,B2,이민
immigrate,B1,이민하다
immigration,B1,이민
immoral,B2,부도덕한
immortal,B2,죽지 않는
immortality,B2,불사
impact,A2,영향
impair,B1,손상시키다
impartial,B2,공정한
impatient,A2,짜증난
impatiently,B2,참을성 없이
imperative,B2,피할 수 없는
impermanent,B2,비영구적인
implement,B2,구현하다
implement,B2,구현하다
implication,B2,함축
imply,B2,암시하다
impolite,B2,무례한
impolitely,B2,무례하게
import,B2,수입
importance,A2,중요성
important,A1,중요한
importantly,A2,중요한 것은
impose,B2,부과하다
impossibility,B2,불가능
impossible,A2,불가능한
impractical,B2,비실용적
impress,A2,날인
impressed,B2,감동
impression,B1,인상
